LOCATION,DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
A,5/15/2020 0:00,25.18431613,22.8575074,0
A,5/15/2020 0:15,25.08458867,22.76166787,0
A,5/15/2020 0:30,24.9357526,22.59230553,0
A,5/15/2020 0:45,24.8461304,22.36085213,0
A,5/15/2020 1:00,24.62152536,22.16542264,0
A,5/15/2020 1:15,24.5360922,21.96857087,0
A,5/15/2020 1:30,24.63867387,22.35292567,0
A,5/15/2020 1:45,24.87302233,23.1609192,0
A,5/15/2020 2:00,24.93693047,23.026113,0
A,5/15/2020 2:15,25.0122476,23.34322927,0
A,5/15/2020 2:30,25.00514933,23.63945927,0
A,5/15/2020 2:45,24.99301953,24.0394858,0
A,5/15/2020 3:00,25.01630943,24.38413557,0
A,5/15/2020 3:15,24.98521527,24.35150773,0
A,5/15/2020 3:30,24.93773193,24.06029653,0
A,5/15/2020 3:45,24.87909953,23.70979413,0
A,5/15/2020 4:00,24.6789022,22.58994153,0
A,5/15/2020 4:15,24.3519308,21.78364253,0
A,5/15/2020 4:30,24.0626222,21.85252493,0
A,5/15/2020 4:45,24.0132242,22.306315,0
A,5/15/2020 5:00,24.1771058,22.55190847,0
A,5/15/2020 5:15,24.304888,22.97949207,0
A,5/15/2020 5:30,24.32872727,23.45238047,0
A,5/15/2020 5:45,24.28921113,23.09669193,0.000862721
A,5/15/2020 6:00,24.08844607,22.2067566,0.005886957
A,5/15/2020 6:15,24.01163527,22.35345867,0.022281607
A,5/15/2020 6:30,23.97673127,22.893282,0.049409724
A,5/15/2020 6:45,24.21899,24.44244393,0.095394454
A,5/15/2020 7:00,24.5373984,27.18565287,0.141940443
A,5/15/2020 7:15,24.8159595,28.88847786,0.154712676
A,5/15/2020 7:30,24.98878987,29.6056438,0.148799153
A,5/15/2020 7:45,25.21618033,29.54711093,0.144793419
A,5/15/2020 8:00,25.41951307,31.41254473,0.201638621
A,5/15/2020 8:15,25.95908213,35.5287108,0.345707653
A,5/15/2020 8:30,26.43078207,40.3180586,0.405348573
A,5/15/2020 8:45,26.8318298,39.08195373,0.312426795
A,5/15/2020 9:00,27.6209698,45.0092326,0.623152649
A,5/15/2020 9:15,27.98836207,46.6177065,0.344884036
A,5/15/2020 9:30,27.51672787,39.136326,0.2492484
A,5/15/2020 9:45,27.45010767,40.93057693,0.541205977
A,5/15/2020 10:00,28.63219187,52.5477356,0.670675372
A,5/15/2020 10:15,28.76891273,47.633738,0.572283477
A,5/15/2020 10:30,29.3514426,49.24972327,0.455148383
A,5/15/2020 10:45,28.85470787,44.0483256,0.361961654
A,5/15/2020 11:00,29.41081933,47.6854534,0.636560881
A,5/15/2020 11:15,30.21606229,50.00698857,0.585787214
A,5/15/2020 11:30,30.2870728,49.8413636,0.557069383
A,5/15/2020 11:45,30.81104933,47.8363832,0.467986869
A,5/15/2020 12:00,31.30537507,49.18358353,0.514962587
A,5/15/2020 12:15,31.50729773,49.84449267,0.787866029
